ID Métier,Nom du Métier,Domaine du Métier,Niveau de Formation,Expérience Attendue,Opportunités de Carrière,Compétences du Métier,Code ROME,Description
15,Data Scientist,Education,Bac,Intermédiaire,Formateur,"Programmation, Leadership, Communication",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
16,Consultant Big Data,Informatique,Bac +3,Confirmé,Consultant,"Analyse financière, Leadership, Cloud computing",M1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
17,Data Scientist,Construction,Bac +2,Expert,Formateur,"Sécurité des systèmes, Conception réseau, Leadership",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
18,Consultant Big Data,RH,Doctorat,Intermédiaire,Entrepreneur,"Communication, Créativité, Conception réseau",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
19,Data Scientist,RH,Doctorat,Expert,Consultant,"Gestion de projet, Programmation, Créativité",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
20,Ingénieur Logiciel,Transport,Bac +2,Expert,Manager,"Cloud computing, Sécurité des systèmes, Leadership",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
21,Analyste Cybersécurité,Transport,Bac,Intermédiaire,Entrepreneur,"Programmation, Analyse financière, Leadership",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
22,Administrateur Systèmes,Marketing,Doctorat,Confirmé,Spécialiste,"Conception réseau, Leadership, Analyse de données",K2101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
23,Analyste Cybersécurité,Informatique,Doctorat,Intermédiaire,Consultant,"Analyse financière, Conception réseau, Communication",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
24,Administrateur Systèmes,Informatique,Bac,Expert,Consultant,"Sécurité des systèmes, Créativité, Analyse financière",J1201,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
25,Ingénieur Sécurité,Construction,Doctorat,Débutant,Entrepreneur,"Cloud computing, Gestion de projet, Programmation",N3203,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
26,Spécialiste Cloud,Marketing,Master,Confirmé,Consultant,"Conception réseau, Leadership, Gestion de projet",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
27,Administrateur Systèmes,Education,Bac,Débutant,Manager,"Cloud computing, Sécurité des systèmes, Créativité",M1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
28,Spécialiste Cloud,Marketing,Bac +3,Débutant,Consultant,"Communication, Conception réseau, Programmation",B1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
29,Développeur Web,Santé,Bac +3,Confirmé,Manager,"Gestion de projet, Conception réseau, Cloud computing",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
30,Ingénieur Logiciel,Énergie,Bac +3,Débutant,Entrepreneur,"Analyse financière, Leadership, Cloud computing",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
31,Chef de Projet IT,Marketing,Bac +3,Expert,Formateur,"Analyse financière, Analyse de données, Programmation",D1202,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
32,Développeur Web,RH,Doctorat,Expert,Spécialiste,"Programmation, Sécurité des systèmes, Analyse financière",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
33,Data Scientist,Construction,Doctorat,Confirmé,Entrepreneur,"Analyse financière, Gestion de projet, Analyse de données",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
34,Technicien Réseaux,Transport,Master,Expert,Formateur,"Leadership, Cloud computing, Programmation",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
35,Administrateur Systèmes,Informatique,Bac +3,Confirmé,Entrepreneur,"Créativité, Conception réseau, Programmation",M1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
36,Spécialiste Cloud,Commerce,Master,Débutant,Entrepreneur,"Gestion de projet, Analyse financière, Cloud computing",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
37,Ingénieur Sécurité,Finance,Doctorat,Expert,Formateur,"Programmation, Leadership, Analyse de données",M1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
38,Ingénieur Logiciel,Finance,Master,Confirmé,Formateur,"Analyse financière, Analyse de données, Cloud computing",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
39,Administrateur Systèmes,Transport,Bac +3,Expert,Manager,"Analyse financière, Leadership, Gestion de projet",B1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
40,Consultant Big Data,Transport,Doctorat,Intermédiaire,Consultant,"Cloud computing, Leadership, Programmation",F1103,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
41,Développeur Web,Construction,Doctorat,Débutant,Manager,"Programmation, Conception réseau, Leadership",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
42,Administrateur Systèmes,Education,Bac,Intermédiaire,Consultant,"Analyse de données, Analyse financière, Conception réseau",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
43,Analyste Cybersécurité,Marketing,Bac +3,Débutant,Consultant,"Sécurité des systèmes, Cloud computing, Analyse de données",I1401,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
44,Ingénieur Sécurité,Commerce,Bac +2,Expert,Spécialiste,"Créativité, Analyse financière, Gestion de projet",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
45,Analyste Cybersécurité,Santé,Master,Expert,Entrepreneur,"Créativité, Gestion de projet, Leadership",B1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
46,Consultant Big Data,Construction,Doctorat,Expert,Formateur,"Cloud computing, Conception réseau, Créativité",N3203,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
47,Analyste Cybersécurité,Construction,Doctorat,Confirmé,Formateur,"Programmation, Analyse de données, Leadership",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
48,Ingénieur Sécurité,Construction,Bac +3,Confirmé,Consultant,"Sécurité des systèmes, Gestion de projet, Conception réseau",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
49,Développeur Web,Énergie,Bac,Expert,Manager,"Leadership, Sécurité des systèmes, Conception réseau",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
50,Ingénieur Sécurité,Santé,Doctorat,Confirmé,Manager,"Gestion de projet, Cloud computing, Analyse de données",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
51,Ingénieur Sécurité,Finance,Bac +3,Confirmé,Entrepreneur,"Leadership, Créativité, Analyse financière",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
52,Chef de Projet IT,RH,Bac,Expert,Manager,"Créativité, Analyse financière, Leadership",N3203,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
53,Chef de Projet IT,Finance,Bac +2,Confirmé,Entrepreneur,"Cloud computing, Sécurité des systèmes, Gestion de projet",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
54,Spécialiste Cloud,Informatique,Bac +2,Confirmé,Spécialiste,"Analyse financière, Leadership, Programmation",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
55,Développeur Web,Santé,Bac,Confirmé,Consultant,"Leadership, Sécurité des systèmes, Gestion de projet",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
56,Développeur Web,Construction,Bac +3,Débutant,Consultant,"Gestion de projet, Analyse de données, Communication",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
57,Développeur Web,Finance,Doctorat,Débutant,Consultant,"Analyse de données, Conception réseau, Sécurité des systèmes",B1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
58,Data Scientist,Transport,Bac +2,Confirmé,Consultant,"Créativité, Gestion de projet, Analyse de données",B1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
59,Administrateur Systèmes,Finance,Bac,Intermédiaire,Formateur,"Analyse financière, Créativité, Analyse de données",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
60,Chef de Projet IT,Education,Doctorat,Expert,Consultant,"Communication, Leadership, Programmation",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
61,Analyste Cybersécurité,Education,Bac +2,Expert,Spécialiste,"Gestion de projet, Analyse de données, Analyse financière",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
62,Ingénieur Logiciel,Construction,Doctorat,Confirmé,Consultant,"Analyse financière, Conception réseau, Cloud computing",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
63,Technicien Réseaux,Transport,Bac +2,Confirmé,Formateur,"Sécurité des systèmes, Communication, Analyse financière",J1201,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
64,Ingénieur Logiciel,Construction,Bac +3,Confirmé,Formateur,"Communication, Programmation, Conception réseau",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
65,Technicien Réseaux,Énergie,Doctorat,Intermédiaire,Spécialiste,"Créativité, Leadership, Sécurité des systèmes",K2101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
66,Data Scientist,Marketing,Bac +2,Expert,Consultant,"Conception réseau, Leadership, Analyse de données",K2101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
67,Spécialiste Cloud,RH,Master,Débutant,Manager,"Gestion de projet, Analyse de données, Créativité",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
68,Spécialiste Cloud,Marketing,Doctorat,Expert,Manager,"Sécurité des systèmes, Créativité, Leadership",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
69,Administrateur Systèmes,Education,Master,Expert,Entrepreneur,"Gestion de projet, Analyse financière, Conception réseau",B1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
70,Développeur Web,RH,Bac +2,Confirmé,Entrepreneur,"Leadership, Conception réseau, Gestion de projet",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
71,Chef de Projet IT,Marketing,Bac +3,Intermédiaire,Spécialiste,"Communication, Programmation, Leadership",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
72,Développeur Web,Informatique,Master,Expert,Spécialiste,"Programmation, Analyse financière, Gestion de projet",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
73,Ingénieur Logiciel,Finance,Master,Débutant,Spécialiste,"Gestion de projet, Communication, Cloud computing",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
74,Consultant Big Data,Informatique,Bac,Confirmé,Entrepreneur,"Cloud computing, Sécurité des systèmes, Analyse financière",I1401,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
75,Administrateur Systèmes,Commerce,Bac +3,Intermédiaire,Consultant,"Cloud computing, Analyse de données, Leadership",F1103,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
76,Technicien Réseaux,Commerce,Bac,Confirmé,Consultant,"Sécurité des systèmes, Conception réseau, Créativité",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
77,Spécialiste Cloud,Education,Bac +2,Débutant,Entrepreneur,"Analyse de données, Analyse financière, Programmation",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
78,Développeur Web,RH,Doctorat,Débutant,Formateur,"Gestion de projet, Créativité, Analyse de données",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
79,Data Scientist,Marketing,Doctorat,Débutant,Formateur,"Programmation, Analyse financière, Communication",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
80,Chef de Projet IT,Transport,Doctorat,Expert,Manager,"Analyse financière, Communication, Sécurité des systèmes",B1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
81,Chef de Projet IT,Transport,Bac,Débutant,Entrepreneur,"Sécurité des systèmes, Cloud computing, Gestion de projet",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
82,Spécialiste Cloud,Commerce,Bac,Intermédiaire,Consultant,"Conception réseau, Créativité, Cloud computing",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
83,Data Scientist,Informatique,Bac +3,Intermédiaire,Spécialiste,"Gestion de projet, Sécurité des systèmes, Cloud computing",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
84,Analyste Cybersécurité,Education,Bac,Débutant,Formateur,"Créativité, Cloud computing, Programmation",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
85,Data Scientist,Énergie,Bac +3,Confirmé,Consultant,"Programmation, Sécurité des systèmes, Cloud computing",M1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
86,Ingénieur Logiciel,Construction,Bac +3,Expert,Spécialiste,"Analyse de données, Créativité, Leadership",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
87,Data Scientist,RH,Bac +2,Expert,Consultant,"Programmation, Conception réseau, Créativité",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
88,Développeur Web,Santé,Master,Confirmé,Manager,"Analyse financière, Gestion de projet, Communication",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
89,Administrateur Systèmes,Transport,Bac +2,Expert,Entrepreneur,"Communication, Programmation, Sécurité des systèmes",K2101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
90,Consultant Big Data,Marketing,Bac +2,Intermédiaire,Manager,"Communication, Analyse financière, Analyse de données",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
91,Ingénieur Sécurité,Informatique,Bac +3,Intermédiaire,Manager,"Communication, Analyse financière, Gestion de projet",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
92,Chef de Projet IT,Construction,Bac +2,Débutant,Formateur,"Analyse financière, Leadership, Analyse de données",J1201,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
93,Développeur Web,Finance,Master,Intermédiaire,Manager,"Programmation, Créativité, Gestion de projet",N3203,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
94,Consultant Big Data,Marketing,Doctorat,Expert,Entrepreneur,"Leadership, Programmation, Analyse de données",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
95,Technicien Réseaux,Construction,Doctorat,Confirmé,Manager,"Cloud computing, Programmation, Sécurité des systèmes",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
96,Spécialiste Cloud,Finance,Master,Débutant,Spécialiste,"Créativité, Cloud computing, Programmation",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
97,Chef de Projet IT,Énergie,Bac +3,Confirmé,Consultant,"Leadership, Communication, Analyse de données",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
98,Administrateur Systèmes,Transport,Master,Expert,Formateur,"Créativité, Leadership, Cloud computing",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
99,Analyste Cybersécurité,Énergie,Doctorat,Expert,Consultant,"Cloud computing, Sécurité des systèmes, Analyse financière",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
100,Développeur Web,Finance,Bac,Intermédiaire,Entrepreneur,"Communication, Sécurité des systèmes, Gestion de projet",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
101,Ingénieur Logiciel,Finance,Bac,Intermédiaire,Spécialiste,"Analyse de données, Programmation, Communication",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
102,Technicien Réseaux,Finance,Master,Débutant,Consultant,"Communication, Analyse financière, Créativité",K2101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
103,Data Scientist,Santé,Doctorat,Intermédiaire,Manager,"Conception réseau, Créativité, Cloud computing",M1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
104,Data Scientist,Marketing,Doctorat,Intermédiaire,Consultant,"Analyse financière, Créativité, Gestion de projet",M1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
105,Développeur Web,Énergie,Bac,Expert,Consultant,"Programmation, Leadership, Communication",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
106,Spécialiste Cloud,Transport,Doctorat,Débutant,Manager,"Gestion de projet, Sécurité des systèmes, Analyse financière",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
107,Consultant Big Data,Commerce,Doctorat,Expert,Consultant,"Sécurité des systèmes, Cloud computing, Communication",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
108,Consultant Big Data,Santé,Master,Intermédiaire,Entrepreneur,"Communication, Analyse de données, Leadership",F1103,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
109,Spécialiste Cloud,Informatique,Bac +3,Débutant,Manager,"Cloud computing, Analyse financière, Analyse de données",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
110,Analyste Cybersécurité,Education,Bac +3,Intermédiaire,Manager,"Sécurité des systèmes, Cloud computing, Programmation",D1202,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
111,Ingénieur Logiciel,Commerce,Master,Débutant,Consultant,"Communication, Cloud computing, Conception réseau",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
112,Ingénieur Sécurité,Marketing,Doctorat,Débutant,Entrepreneur,"Conception réseau, Analyse de données, Analyse financière",M1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
113,Administrateur Systèmes,Education,Bac +3,Expert,Entrepreneur,"Créativité, Gestion de projet, Communication",G1101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
114,Chef de Projet IT,Énergie,Doctorat,Intermédiaire,Manager,"Créativité, Cloud computing, Leadership",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
115,Analyste Cybersécurité,Marketing,Doctorat,Confirmé,Formateur,"Cloud computing, Analyse financière, Communication",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
116,Consultant Big Data,Santé,Bac +3,Intermédiaire,Manager,"Sécurité des systèmes, Cloud computing, Communication",D1202,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
117,Administrateur Systèmes,Finance,Doctorat,Expert,Formateur,"Analyse de données, Programmation, Cloud computing",M1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
118,Ingénieur Sécurité,Marketing,Doctorat,Intermédiaire,Entrepreneur,"Sécurité des systèmes, Communication, Gestion de projet",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
119,Ingénieur Logiciel,Informatique,Bac +2,Intermédiaire,Formateur,"Analyse de données, Cloud computing, Leadership",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
120,Ingénieur Sécurité,Finance,Bac,Intermédiaire,Entrepreneur,"Sécurité des systèmes, Communication, Analyse financière",K2101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
121,Consultant Big Data,Construction,Master,Expert,Formateur,"Programmation, Cloud computing, Communication",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
122,Data Scientist,Education,Bac +2,Confirmé,Entrepreneur,"Cloud computing, Leadership, Programmation",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
123,Consultant Big Data,Commerce,Bac +3,Intermédiaire,Consultant,"Leadership, Sécurité des systèmes, Programmation",I1401,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
124,Ingénieur Logiciel,Marketing,Master,Intermédiaire,Formateur,"Créativité, Analyse de données, Analyse financière",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
125,Ingénieur Logiciel,Commerce,Bac,Confirmé,Consultant,"Gestion de projet, Leadership, Cloud computing",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
126,Ingénieur Sécurité,Finance,Doctorat,Intermédiaire,Entrepreneur,"Sécurité des systèmes, Analyse financière, Communication",F1103,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
127,Chef de Projet IT,Education,Doctorat,Confirmé,Consultant,"Analyse financière, Créativité, Sécurité des systèmes",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
128,Chef de Projet IT,Construction,Master,Débutant,Manager,"Analyse de données, Programmation, Gestion de projet",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
129,Technicien Réseaux,Construction,Bac +3,Expert,Entrepreneur,"Conception réseau, Créativité, Gestion de projet",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
130,Technicien Réseaux,Construction,Bac +2,Confirmé,Entrepreneur,"Communication, Sécurité des systèmes, Analyse financière",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
131,Analyste Cybersécurité,Finance,Bac +2,Expert,Formateur,"Analyse de données, Sécurité des systèmes, Analyse financière",F1103,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
132,Ingénieur Sécurité,Construction,Bac +3,Intermédiaire,Formateur,"Cloud computing, Conception réseau, Créativité",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
133,Ingénieur Logiciel,Santé,Bac +2,Confirmé,Manager,"Conception réseau, Sécurité des systèmes, Communication",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
134,Technicien Réseaux,Marketing,Bac,Confirmé,Formateur,"Conception réseau, Cloud computing, Créativité",M1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
135,Data Scientist,Santé,Bac +3,Confirmé,Manager,"Conception réseau, Créativité, Leadership",K2101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
136,Développeur Web,Informatique,Bac +3,Confirmé,Spécialiste,"Communication, Créativité, Gestion de projet",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
137,Ingénieur Logiciel,Construction,Bac +2,Expert,Entrepreneur,"Gestion de projet, Programmation, Analyse financière",N3203,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
138,Spécialiste Cloud,Finance,Doctorat,Intermédiaire,Spécialiste,"Leadership, Analyse de données, Gestion de projet",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
139,Analyste Cybersécurité,RH,Doctorat,Intermédiaire,Consultant,"Conception réseau, Analyse financière, Analyse de données",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
